EQUNR,FUNCTION,EQKTX,TYPE,SOURCE,AI_DESCRIPTION,REASONING
35-24-078,35-24L003,HV 35-24-078 35-24L003 DRN NC,DRN NC,VISION,35-24-078 PP-900 DIS LN,Tight-crop + legend classification → DRN NC
35-24-107,35-24L003,HV 35-24-107 35-24L003 DRN NC,DRN NC,VISION,35-24-107 VLV HV,Tight-crop + legend classification → DRN NC
35-24-230,35-24L003,HV 35-24-230 35-24L003 HV,HV,VISION,35-24-230 IN LN,Tight-crop + legend classification → HV
35-24-111,35-24L003,HV 35-24-111 35-24L003 NC SMP,NC SMP,VISION,35-24-111 LN VLV NC,Tight-crop + legend classification → NC SMP
35-24-110,35-24L003,HV 35-24-110 35-24L003 NC FLS,NC FLS,VISION,35-24-110 LN VLV HV,Tight-crop + legend classification → NC FLS
35-24-113,35-24L003,HV 35-24-113 35-24L003 NC FLS,NC FLS,VISION,35-24-113 LN VLV NC,Tight-crop + legend classification → NC FLS
35-24-003.4,35-24L003,HV 35-24-003.4 35-24L003 HV,HV,VISION,35-24-003.4,Tight-crop + legend classification → HV
35-24-082,35-24L004,HV 35-24-082 35-24L004 HV,HV,VISION,35-24-082 PP-800 MAIN LN,Tight-crop + legend classification → HV
35-24-081,35-24L004,HV 35-24-081 35-24L004 HV,HV,VISION,35-24-081 PP-250 LN,Tight-crop + legend classification → HV
35-24-105,35-24L003,HV 35-24-105 35-24L003 DRN NC NO,DRN NC NO,VISION,35-24-105 VLV HV,Tight-crop + legend classification → DRN NC NO
35-24-083,35-24L004,HV 35-24-083 35-24L004 NC,NC,VISION,35-24-083 WAF-300 LN,Tight-crop + legend classification → NC
35-24-084,35-24L004,HV 35-24-084 35-24L004 NC FLS,NC FLS,VISION,35-24-084 WAF-100 LN,Tight-crop + legend classification → NC FLS
35-24-086,35-24L004,HV 35-24-086 35-24L004 HV,HV,VISION,35-24-086 WAF-100 LN,Tight-crop + legend classification → HV
35-24FV-570,35-24L004,HV 35-24-570 35-24L004 AV,AV,VISION,35-24FV-570 FL VLV AV,Tight-crop + legend classification → AV
35-24-088,35-24L004,HV 35-24-088 35-24L004 HV,HV,VISION,35-24-088 WAF-300 LN,Tight-crop + legend classification → HV
35-24HV-572,35-24L004,HV 35-24-572 35-24L004 HV,HV,VISION,35-24HV-572 ISOL VLV HV,Tight-crop + legend classification → HV
35-24KV-573,35-24L004,HV 35-24-573 35-24L004 NC FLS,NC FLS,VISION,35-24KV-573 VLV AV,Tight-crop + legend classification → NC FLS
35-24-089,35-24L001,HV 35-24-089 35-24L001 DRN NC,DRN NC,VISION,35-24-089 WAF-300 LN,Tight-crop + legend classification → DRN NC
35-24HV-651,35-24L004,HV 35-24-651 35-24L004 HV,HV,VISION,35-24HV-651 ISOL VLV HV,Tight-crop + legend classification → HV
35-24HV-575,35-24L004,HV 35-24-575 35-24L004 AV,AV,VISION,35-24HV-575 ISOL VLV HV,Tight-crop + legend classification → AV
35-24-223,35-24L005,HV 35-24-223 35-24L005 NC,NC,VISION,35-24-223 PP-100 LN,Tight-crop + legend classification → NC
35-24FV-696,35-24L005,HV 35-24-696 35-24L005 AV,AV,VISION,35-24FV-696 FL CTRL VLV AV,Tight-crop + legend classification → AV
35-24-043,35-24L005,HV 35-24-043 35-24L005 NC FLS,NC FLS,VISION,35-24-043 PP-300 LN,Tight-crop + legend classification → NC FLS
35-24-222,35-24L005,HV 35-24-222 35-24L005 NC,NC,VISION,35-24-222 PP-400 LN,Tight-crop + legend classification → NC
35-24LV2-537,35-24L005,HV 35-24-2-537 35-24L005 AV,AV,VISION,35-24LV2-537 LVL VLV AV,Tight-crop + legend classification → AV
35-24-044,35-24L005,HV 35-24-044 35-24L005 NC FLS,NC FLS,VISION,35-24-044 PP-900 LN,Tight-crop + legend classification → NC FLS
35-24-220,35-24L005,HV 35-24-220 35-24L005 HV,HV,VISION,35-24-220 PP-80 LN,Tight-crop + legend classification → HV
35-24LV1-537,35-24L005,HV 35-24-1-537 35-24L005 AV,AV,VISION,35-24LV1-537 LVL VLV AV,Tight-crop + legend classification → AV
35-24-1131,35-24L005,HV 35-24-1131 35-24L005 NC SMP,NC SMP,VISION,35-24-1131 350-400 BRANCH,Tight-crop + legend classification → NC SMP
35-24-1112,35-24L005,HV 35-24-1112 35-24L005 NC NO SMP,NC NO SMP,VISION,35-24-1112 003-15 BRANCH,Tight-crop + legend classification → NC NO SMP
35-24-1128,35-24L005,HV 35-24-1128 35-24L005 NC FLS,NC FLS,VISION,35-24-1128 003-50 BRANCH,Tight-crop + legend classification → NC FLS
35-24-140,35-24L005,HV 35-24-140 35-24L005 NC,NC,VISION,35-24-140 350-300 LN,Tight-crop + legend classification → NC
35-24-228,35-24L005,HV 35-24-228 35-24L005 DRN HV,DRN HV,VISION,35-24-228 350-500 LN,Tight-crop + legend classification → DRN HV
35-24HV-548,35-24L005,HV 35-24-548 35-24L005 AV,AV,VISION,35-24HV-548 ISOL VLV HV,Tight-crop + legend classification → AV
35-24-005.3,35-24L005,HV 35-24-005.3 35-24L005 HV,HV,VISION,35-24-005.3,Tight-crop + legend classification → HV
35-24-005.4,35-24L005,HV 35-24-005.4 35-24L005 NC,NC,VISION,35-24-005.4,Tight-crop + legend classification → NC
35-24-005.2,35-24L005,HV 35-24-005.2 35-24L005 DRN NC,DRN NC,VISION,35-24-005.2,Tight-crop + legend classification → DRN NC
35-24-005.1,35-24L005,HV 35-24-005.1 35-24L005 DRN NC,DRN NC,VISION,35-24-005.1,Tight-crop + legend classification → DRN NC
35-24-049,35-24L006,HV 35-24-049 35-24L006 NC FLS,NC FLS,VISION,35-24-049 PP-800 IN LN,Tight-crop + legend classification → NC FLS
35-24-051,35-24L006,HV 35-24-051 35-24L006 NC,NC,VISION,35-24-051 PP-100 OUT LN,Tight-crop + legend classification → NC
35-24-046,35-24L006,HV 35-24-046 35-24L006 HV,HV,VISION,35-24-046 PP-250 LN,Tight-crop + legend classification → HV
35-24-047,35-24L006,HV 35-24-047 35-24L006 NC,NC,VISION,35-24-047 PP-150 LN,Tight-crop + legend classification → NC
35-24-137,35-24L005,HV 35-24-137 35-24L005 DRN NC,DRN NC,VISION,35-24-137 PP-250 SPOOL,Tight-crop + legend classification → DRN NC
35-24-007.1,35-24L007,HV 35-24-007.1 35-24L007 NC FLS,NC FLS,VISION,35-24-007.1 SLABBING PLPR MTR 1,Tight-crop + legend classification → NC FLS
35-24-007.2,35-24L007,HV 35-24-007.2 35-24L007 NC FLS,NC FLS,VISION,35-24-007.2 SLABBING PLPR MTR 2,Tight-crop + legend classification → NC FLS
35-24LV1-518,35-24L007,HV 35-24-1-518 35-24L007 AV,AV,VISION,35-24LV1-518 LVL VLV AV,Tight-crop + legend classification → AV
35-24LV2-518,35-24L007,HV 35-24-2-518 35-24L007 AV,AV,VISION,35-24LV2-518 LVL VLV AV,Tight-crop + legend classification → AV
35-24-160,35-24L007,HV 35-24-160 35-24L007 HV,HV,VISION,35-24-160 VLV AV,Tight-crop + legend classification → HV
35-24-164,35-24L007,HV 35-24-164 35-24L007 NC,NC,VISION,35-24-164 VLV HV,Tight-crop + legend classification → NC
35-24-1095,35-24L007,HV 35-24-1095 35-24L007 NC FLS,NC FLS,VISION,35-24-1095 VLV NC,Tight-crop + legend classification → NC FLS
35-24-216,35-24L007,HV 35-24-216 35-24L007 NC FLS,NC FLS,VISION,35-24-216 VLV HV,Tight-crop + legend classification → NC FLS
35-24-025,35-24L007,HV 35-24-025 35-24L007 NC,NC,VISION,35-24-025 PP-600 DIS LN,Tight-crop + legend classification → NC
35-24-227,35-24L007,HV 35-24-227 35-24L007 HV,HV,VISION,35-24-227 VLV HV,Tight-crop + legend classification → HV
35-24-1106,35-24L007,HV 35-24-1106 35-24L007 NC FLS,NC FLS,VISION,35-24-1106 VLV NC,Tight-crop + legend classification → NC FLS
35-24-161,35-24L007,HV 35-24-161 35-24L007 NC FLS,NC FLS,VISION,35-24-161 VLV HV,Tight-crop + legend classification → NC FLS
35-24-027,35-24L007,HV 35-24-027 35-24L007 HV,HV,VISION,35-24-027 PP-250 LN,Tight-crop + legend classification → HV
35-24-1096,35-24L007,HV 35-24-1096 35-24L007 NC CHK,NC CHK,VISION,35-24-1096 VLV CHK,Tight-crop + legend classification → NC CHK
35-24-008.1,35-24L008,HV 35-24-008.1 35-24L008 NC,NC,VISION,35-24-008.1 WINDER PLPR MTR 200KW,Tight-crop + legend classification → NC
35-24-008.2,35-24L008,HV 35-24-008.2 35-24L008 NC,NC,VISION,35-24-008.2 WINDER PLPR MTR 200KW,Tight-crop + legend classification → NC
35-24-009,35-24L008,HV 35-24-009 35-24L008 NC,NC,VISION,35-24-009 PP-600 IN LN,Tight-crop + legend classification → NC
35-24-181,35-24L008,HV 35-24-181 35-24L008 NC,NC,VISION,35-24-181 VLV NC,Tight-crop + legend classification → NC
35-24-1088,35-24L008,HV 35-24-1088 35-24L008 NC,NC,VISION,35-24-1088 VLV NC,Tight-crop + legend classification → NC
35-24-007,35-24L008,HV 35-24-007 35-24L008 HV,HV,VISION,35-24-007 PP-200 FD LN,Tight-crop + legend classification → HV
35-24-180,35-24L008,HV 35-24-180 35-24L008 NC,NC,VISION,35-24-180 VLV HV,Tight-crop + legend classification → NC
35-24-1094,35-24L008,HV 35-24-1094 35-24L008 CHK,CHK,VISION,35-24-1094 VLV CHK,Tight-crop + legend classification → CHK
35-24-184,35-24L008,HV 35-24-184 35-24L008 NC SMP,NC SMP,VISION,35-24-184 VLV NC FLS,Tight-crop + legend classification → NC SMP
35-24LV2-513,35-24L008,HV 35-24-2-513 35-24L008 AV,AV,VISION,35-24LV2-513 LVL CTRL VLV,Tight-crop + legend classification → AV
35-24-011,35-24L008,HV 35-24-011 35-24L008 NC,NC,VISION,35-24-011 PP-250 DIS LN,Tight-crop + legend classification → NC
35-24-1100,35-24L008,HV 35-24-1100 35-24L008 DRN NC,DRN NC,VISION,35-24-1100 VLV HV,Tight-crop + legend classification → DRN NC
35-24-226,35-24L008,HV 35-24-226 35-24L008 NO SMP HV,NO SMP HV,VISION,35-24-226 VLV CHK,Tight-crop + legend classification → NO SMP HV
35-24LV1-513,35-24L008,HV 35-24-1-513 35-24L008 AV,AV,VISION,35-24LV1-513 LVL CTRL VLV,Tight-crop + legend classification → AV
35-24-009.1,35-24L009,HV 35-24-009.1 35-24L009 NC FLS,NC FLS,VISION,35-24-009.1 PLPR MTR 160KW 1500RPM,Tight-crop + legend classification → NC FLS
35-24-186,35-24L009,HV 35-24-186 35-24L009 NC FLS,NC FLS,VISION,35-24-186 WAF-100 IN LN,Tight-crop + legend classification → NC FLS
35-24-187,35-24L009,HV 35-24-187 35-24L009 NC FLS,NC FLS,VISION,35-24-187 WAF-100 IN LN,Tight-crop + legend classification → NC FLS
35-24-188,35-24L009,HV 35-24-188 35-24L009 HV,HV,VISION,35-24-188 WAF-80 IN LN,Tight-crop + legend classification → HV
35-24-189,35-24L009,HV 35-24-189 35-24L009 HV,HV,VISION,35-24-189 PP-300 LN,Tight-crop + legend classification → HV
35-24-191,35-24L009,HV 35-24-191 35-24L009 NC,NC,VISION,35-24-191 PP-250 LN,Tight-crop + legend classification → NC
35-24-196,35-24L009,HV 35-24-196 35-24L009 NC FLS,NC FLS,VISION,35-24-196 VLV NC 355-250,Tight-crop + legend classification → NC FLS
35-24-221,35-24L009,HV 35-24-221 35-24L009 NC FLS,NC FLS,VISION,35-24-221 VLV NC 003-50,Tight-crop + legend classification → NC FLS
35-24-193,35-24L009,HV 35-24-193 35-24L009 HV,HV,VISION,35-24-193 PP-100 FD LN,Tight-crop + legend classification → HV
35-24-199,35-24L009,HV 35-24-199 35-24L009 AV-M,AV-M,VISION,35-24-199 VLV NC 003-15,Tight-crop + legend classification → AV-M
35-24-192,35-24L009,HV 35-24-192 35-24L009 NC,NC,VISION,35-24-192 PP-200 FD LN,Tight-crop + legend classification → NC
35-24LV1-674,35-24L009,HV 35-24-1-674 35-24L009 AV,AV,VISION,35-24LV1-674 LVL CTRL VLV AV 150,Tight-crop + legend classification → AV
35-24LV2-674,35-24L009,HV 35-24-2-674 35-24L009 AV,AV,VISION,35-24LV2-674 LVL CTRL VLV AV 80,Tight-crop + legend classification → AV
35-24-198,35-24L009,HV 35-24-198 35-24L009 NC NO SMP,NC NO SMP,VISION,35-24-198 VLV NC 003-50,Tight-crop + legend classification → NC NO SMP
35-24-190,35-24L009,HV 35-24-190 35-24L009 HV,HV,VISION,35-24-190 PP-200 OUT LN,Tight-crop + legend classification → HV
35-24-194,35-24L009,HV 35-24-194 35-24L009 NC,NC,VISION,35-24-194 VLV HV 350-200,Tight-crop + legend classification → NC
35-24-197,35-24L009,HV 35-24-197 35-24L009 NC,NC,VISION,35-24-197 VLV HV 001-80,Tight-crop + legend classification → NC
35-24-010.1,35-24L010,HV 35-24-010.1 35-24L010 AV,AV,VISION,35-24-010.1 BROKE SCRN MTR 160KW,Tight-crop + legend classification → AV
35-24-169,35-24L010,HV 35-24-169 35-24L010 HV,HV,VISION,35-24-169 PSR-100 FD LN,Tight-crop + legend classification → HV
35-24HV-642,35-24L010,HV 35-24-642 35-24L010 HV,HV,VISION,35-24HV-642 ISOL VLV AV,Tight-crop + legend classification → HV
35-24-168,35-24L010,HV 35-24-168 35-24L010 NC,NC,VISION,35-24-168 PSR-100 REJ LN,Tight-crop + legend classification → NC
35-24-013,35-24L010,HV 35-24-013 35-24L010 NC FLS,NC FLS,VISION,35-24-013 VLV NC,Tight-crop + legend classification → NC FLS
35-24-166,35-24L010,HV 35-24-166 35-24L010 NC,NC,VISION,35-24-166 PSR-200 ACPT LN,Tight-crop + legend classification → NC
35-24FV-644,35-24L010,HV 35-24-644 35-24L010 AV,AV,VISION,35-24FV-644 FL CTRL VLV AV,Tight-crop + legend classification → AV
35-24-170,35-24L010,HV 35-24-170 35-24L010 HV,HV,VISION,35-24-170 PP-300 FD HEADER,Tight-crop + legend classification → HV
35-24FV-640,35-24L010,HV 35-24-640 35-24L010 AV,AV,VISION,35-24FV-640 FL CTRL VLV AV,Tight-crop + legend classification → AV
35-24-015,35-24L010,HV 35-24-015 35-24L010 NC,NC,VISION,35-24-015 VLV NC,Tight-crop + legend classification → NC
35-24HV-591,35-24L011,HV 35-24-591 35-24L011 AV,AV,VISION,35-24HV-591 ISOL VLV AV NC,Tight-crop + legend classification → AV
35-24-1125,35-24P501,HV 35-24-1125 35-24P501 NC,NC,VISION,35-24-1125 SUCT ISOL VLV NC,Tight-crop + legend classification → NC
35-24-119,35-24P501,HV 35-24-119 35-24P501 HV,HV,VISION,35-24-119 DIS LN PP-300,Tight-crop + legend classification → HV
35-24-1138,35-24P501,HV 35-24-1138 35-24P501 NC,NC,VISION,35-24-1138 DIS BRANCH VLV NC,Tight-crop + legend classification → NC
35-24-072,35-24P501,HV 35-24-072 35-24P501 NC FLS,NC FLS,VISION,35-24-072 DIS VLV NC,Tight-crop + legend classification → NC FLS
35-24-235,35-24P501,HV 35-24-235 35-24P501 HV,HV,VISION,35-24-235 DIS BRANCH LN,Tight-crop + legend classification → HV
35-24LV1-609,35-24P501,HV 35-24-1-609 35-24P501 AV,AV,VISION,35-24LV1-609 LVL CTRL VLV AV,Tight-crop + legend classification → AV
35-24LV2-609,35-24P501,HV 35-24-2-609 35-24P501 AV,AV,VISION,35-24LV2-609 LVL CTRL VLV AV,Tight-crop + legend classification → AV
35-24LV3-609,35-24P501,HV 35-24-3-609 35-24P501 NC,NC,VISION,35-24LV3-609 LVL CTRL VLV AV,Tight-crop + legend classification → NC
35-24-117,35-24P501,HV 35-24-117 35-24P501 HV,HV,VISION,35-24-117,Tight-crop + legend classification → HV
35-24-075,35-24P502,HV 35-24-075 35-24P502 NC,NC,VISION,35-24-075 ISOL VLV NC,Tight-crop + legend classification → NC
35-24-1101,35-24P502,HV 35-24-1101 35-24P502 NC FLS,NC FLS,VISION,35-24-1101 ISOL VLV NC,Tight-crop + legend classification → NC FLS
35-24-074,35-24P502,HV 35-24-074 35-24P502 NC FLS,NC FLS,VISION,35-24-074 ISOL VLV NC,Tight-crop + legend classification → NC FLS
35-24P504,35-24P504,HV 35-24-50-4 35-24P504 HV,HV,CAD_LAYER,35-24P504 PMP 4KW 1500RPM,Tag text on P-CVPOS → valve
35-24-090,35-24P504,HV 35-24-090 35-24P504 NC NO FLS,NC NO FLS,VISION,35-24-090 LN 003-50,Tight-crop + legend classification → NC NO FLS
35-24FV-593,35-24P504,HV 35-24-593 35-24P504 AV,AV,VISION,35-24FV-593 FL CTRL VLV AV,Tight-crop + legend classification → AV
35-24P506,35-24P506,HV 35-24-50-6 35-24P506 NC,NC,VISION,35-24P506 PMP 250KW 1000RPM,Tight-crop + legend classification → NC
35-24-147,35-24P506,HV 35-24-147 35-24P506 NC FLS,NC FLS,VISION,35-24-147 SUCT BRANCH 003-50,Tight-crop + legend classification → NC FLS
35-24-145,35-24P506,HV 35-24-145 35-24P506 NC FLS,NC FLS,VISION,35-24-145 DIS BRANCH 001-80,Tight-crop + legend classification → NC FLS
35-24FV-550,35-24P507,HV 35-24-550 35-24P507 AV,AV,VISION,35-24FV-550 FL CTRL VLV AV,Tight-crop + legend classification → AV
35-24P510,35-24P510,HV 35-24-51-0 35-24P510 HV,HV,CAD_LAYER,35-24P510 BROKE PMP 615L/S 1100KW,Tag text on P-VALVEPOS → valve
35-24-062,35-24P510,HV 35-24-062 35-24P510 NC FLS,NC FLS,VISION,35-24-062 SUCT LN PP-250,Tight-crop + legend classification → NC FLS
35-24LV1-559,35-24P510,HV 35-24-1-559 35-24P510 AV,AV,VISION,35-24LV1-559 LVL CTRL VLV AV,Tight-crop + legend classification → AV
35-24-205,35-24P510,HV 35-24-205 35-24P510 NC FLS,NC FLS,VISION,35-24-205 ISOL VLV HV,Tight-crop + legend classification → NC FLS
35-24-129,35-24P510,HV 35-24-129 35-24P510 NC,NC,VISION,35-24-129 ISOL VLV HV,Tight-crop + legend classification → NC
35-24-130,35-24P510,HV 35-24-130 35-24P510 NC,NC,VISION,35-24-130 ISOL VLV HV,Tight-crop + legend classification → NC
35-24-131,35-24P510,HV 35-24-131 35-24P510 NC FLS,NC FLS,VISION,35-24-131 DRN VLV NC DRN,Tight-crop + legend classification → NC FLS
35-24-065,35-24P510,HV 35-24-065 35-24P510 FLS,FLS,VISION,35-24-065 DIS LN PP-300,Tight-crop + legend classification → FLS
35-24-1114,35-24P510,HV 35-24-1114 35-24P510 NC CHK,NC CHK,VISION,35-24-1114 CHECK VLV CHK,Tight-crop + legend classification → NC CHK
35-24-1099,35-24P510,HV 35-24-1099 35-24P510 NC FLS,NC FLS,VISION,35-24-1099 ISOL VLV HV,Tight-crop + legend classification → NC FLS
35-24NV1-557,35-24P510,HV 35-24-1-557 35-24P510 NC,NC,VISION,35-24NV1-557 CTRL VLV NC AV,Tight-crop + legend classification → NC
35-24NV2-557,35-24P510,HV 35-24-2-557 35-24P510 NC,NC,VISION,35-24NV2-557 CTRL VLV AV,Tight-crop + legend classification → NC
35-24-126,35-24P510,HV 35-24-126 35-24P510 FLS HV,FLS HV,VISION,35-24-126 ISOL VLV HV,Tight-crop + legend classification → FLS HV
35-24-123,35-24P510,HV 35-24-123 35-24P510 NC,NC,VISION,35-24-123 ISOL VLV HV,Tight-crop + legend classification → NC
35-24-1098,35-24P511,HV 35-24-1098 35-24P511 NC,NC,VISION,35-24-1098 VLV NC,Tight-crop + legend classification → NC
35-24-229,35-24P511,HV 35-24-229 35-24P511 HV,HV,VISION,35-24-229 VLV HV,Tight-crop + legend classification → HV
35-24-134,35-24P512,HV 35-24-134 35-24P512 HV,HV,VISION,35-24-134 SUCT LN WAF-125,Tight-crop + legend classification → HV
35-24-209,35-24P512,HV 35-24-209 35-24P512 NC NO SMP,NC NO SMP,VISION,35-24-209 ISOL VLV AV,Tight-crop + legend classification → NC NO SMP
35-24-048,35-24P512,HV 35-24-048 35-24P512 NC FLS,NC FLS,VISION,35-24-048 ISOL VLV NC,Tight-crop + legend classification → NC FLS
35-24-135,35-24P512,HV 35-24-135 35-24P512 HV,HV,VISION,35-24-135 DIS LN PP-400,Tight-crop + legend classification → HV
35-24-045,35-24P512,HV 35-24-045 35-24P512 DRN NC,DRN NC,VISION,35-24-045 CHK VLV CHK,Tight-crop + legend classification → DRN NC
35-24HV-618,35-24P512,HV 35-24-618 35-24P512 AV,AV,VISION,35-24HV-618 CTRL VLV AV,Tight-crop + legend classification → AV
35-24NV-616,35-24P512,HV 35-24-616 35-24P512 NC,NC,VISION,35-24NV-616 ISOL VLV AV NC,Tight-crop + legend classification → NC
35-24-021,35-24P513,HV 35-24-021 35-24P513 NC,NC,VISION,35-24-021 SUCT ISOL VLV HV,Tight-crop + legend classification → NC
35-24-019,35-24P513,HV 35-24-019 35-24P513 NC FLS,NC FLS,VISION,35-24-019 DIS ISOL VLV HV,Tight-crop + legend classification → NC FLS
35-24-1091,35-24P513,HV 35-24-1091 35-24P513 NC SMP,NC SMP,VISION,35-24-1091 VLV HV,Tight-crop + legend classification → NC SMP
35-24HV-636,35-24P513,HV 35-24-636 35-24P513 AV,AV,VISION,35-24HV-636 ISOL VLV AV,Tight-crop + legend classification → AV
35-24-201,35-24P513,HV 35-24-201 35-24P513 NC NO CHK,NC NO CHK,VISION,35-24-201 VLV HV,Tight-crop + legend classification → NC NO CHK
35-24HV-633,35-24P513,HV 35-24-633 35-24P513 NC SMP,NC SMP,VISION,35-24HV-633 ISOL VLV AV,Tight-crop + legend classification → NC SMP
35-24-1093,35-24P513,HV 35-24-1093 35-24P513 NC FLS,NC FLS,VISION,35-24-1093 VLV NC,Tight-crop + legend classification → NC FLS
35-24NV-634,35-24P513,HV 35-24-634 35-24P513 NC,NC,VISION,35-24NV-634 VLV NC,Tight-crop + legend classification → NC
35-24-057,35-24P514,HV 35-24-057 35-24P514 HV,HV,VISION,35-24-057 ISOL VLV HV,Tight-crop + legend classification → HV
35-24-058,35-24P514,HV 35-24-058 35-24P514 HV,HV,VISION,35-24-058 ISOL VLV HV,Tight-crop + legend classification → HV
35-24-132,35-24P514,HV 35-24-132 35-24P514 NC SMP,NC SMP,VISION,35-24-132 DIS LN PP-500,Tight-crop + legend classification → NC SMP
35-24-133,35-24P514,HV 35-24-133 35-24P514 NC SMP,NC SMP,VISION,35-24-133 DIS LN PP-500,Tight-crop + legend classification → NC SMP
35-24-1132,35-24P514,HV 35-24-1132 35-24P514 NC FLS,NC FLS,VISION,35-24-1132 VLV NC,Tight-crop + legend classification → NC FLS
35-24-055,35-24P514,HV 35-24-055 35-24P514 HV,HV,VISION,35-24-055 VLV NC,Tight-crop + legend classification → HV
35-24-1133,35-24P514,HV 35-24-1133 35-24P514 HV,HV,VISION,35-24-1133 VLV NC,Tight-crop + legend classification → HV
35-24-1104,35-24P514,HV 35-24-1104 35-24P514 HV,HV,VISION,35-24-1104 VLV NC,Tight-crop + legend classification → HV
35-24HV-615,35-24P514,HV 35-24-615 35-24P514 HV,HV,VISION,35-24HV-615 ISOL VLV AV,Tight-crop + legend classification → HV
35-24-056,35-24P514,HV 35-24-056 35-24P514 NC,NC,VISION,35-24-056 ISOL VLV HV,Tight-crop + legend classification → NC
35-24-155,35-24P515,HV 35-24-155 35-24P515 HV,HV,VISION,35-24-155 SUCT LN PP-150,Tight-crop + legend classification → HV
35-24-156,35-24P515,HV 35-24-156 35-24P515 HV,HV,CAD_LAYER,35-24-156 SUCT LN PP-400,Tag text on P-VALVEPOS → valve
35-24-026,35-24P515,HV 35-24-026 35-24P515 HV,HV,VISION,35-24-026 SUCT ISOL VLV HV,Tight-crop + legend classification → HV
35-24-024,35-24P515,HV 35-24-024 35-24P515 NC,NC,VISION,35-24-024 SUCT ISOL VLV HV,Tight-crop + legend classification → NC
35-24-1137,35-24P515,HV 35-24-1137 35-24P515 NC,NC,VISION,35-24-1137 SUCT VLV NC,Tight-crop + legend classification → NC
35-24-154,35-24P515,HV 35-24-154 35-24P515 CHK,CHK,VISION,35-24-154 RECIRC LN PP-700,Tight-crop + legend classification → CHK
35-24-1117,35-24P516,HV 35-24-1117 35-24P516 NC,NC,VISION,35-24-1117 ISOL VLV NC,Tight-crop + legend classification → NC
35-24-146,35-24P516,HV 35-24-146 35-24P516 HV,HV,VISION,35-24-146 DIS LN WAA-400,Tight-crop + legend classification → HV
